"year","tas_mean_C","pr_total_mm","n_months"
1980,-2.31327843762725,1158.87737553769,12
1981,-0.901642487800585,1180.11715298266,12
1982,-4.26896913610419,1017.58000864101,12
1983,-3.32464056830245,1168.21559425743,12
1984,-3.91214688825745,962.117819215461,12
1985,-2.90867263297894,1117.66020446897,12
1986,-3.73794592074998,920.700045883893,12
1987,-2.00619861664321,954.759715190356,12
1988,-3.14740818975485,935.934976307245,12
1989,-3.37553590003814,1087.92480332006,12
1990,-4.50157741445733,926.228993318301,12
1991,-4.70666572683878,850.077608481544,12
1992,-4.55941159413377,919.556529011273,12
1993,-4.38169532736034,847.606970116619,12
1994,-3.45018860939784,949.325959388831,12
1995,-3.00799280761861,857.92474116928,12
1996,-1.92808421935099,1030.44585540479,12
1997,-3.01943775541666,1044.13143709111,12
1998,-1.43673832837854,1033.4056464788,12
1999,-1.49768884838859,1309.35824014439,12
2000,-2.18421752574236,1052.53348875066,12
2001,-1.55719920361772,1089.22463543695,12
2002,-3.48501554839207,1059.1825396511,12
2003,-1.89877205334501,1070.34067441722,12
2004,-1.72241334227649,1111.18550844631,12
2005,-1.74054614692173,1057.2894008092,12
2006,-0.540028787662133,1065.57540512366,12
2007,-2.72650573188806,1125.79821866183,12
2008,-2.47800562766772,999.351218411934,12
2009,-2.2525524228077,1057.6766255017,12
2010,0.661026458361176,1207.68021743987,12
2011,-1.78389554367449,1041.48284385841,12
2012,-1.1225775872295,1106.09897619967,12
2013,-2.23655761101836,1039.06524171137,12
2014,-2.88043852863448,1052.8510727171,12
2015,-3.7940615168315,1066.24564721039,12
2016,-3.1153977687733,1093.14067199632,12
2017,-2.26852709414207,1121.37066006757,12
2018,-3.16444573446527,1115.41383928984,12
