STATION_ID,STATION_NAME,cell_area_km2,thiessen_weight
478,MORICE RIVER FDR,1338.6532945164226,0.02834068967431829
528,NADINA RIVER,5407.5063720893595,0.1144825629093487
550,TATELKUZ LAKE,715.4874375320969,0.01514761702379061
485,QUICK,2.833658791911453,5.999151893431577e-5
479,MORICE RIVER HOUSTON,34.755395478962896,7.358080556125717e-4
526,NADINA RIVER,415.8426937243309,0.008803824548484884
512,COLLEYMOUNT,1168.8434681788874,0.024745638131401456
534,NORA LEE NORTH,533.0147189459954,0.011284478814172234
555,WISTARIA,1550.1592728202286,0.03281849234355732
527,NADINA RIVER,557.0655957109151,0.01179366101809464
471,HOUSTON GOOSLY LAKE,133.8447253389721,0.002833632756827043
461,EQUITY SILVER,220.90449706147862,0.0046767791365592585
465,GRANISLE COPPER LTD,7397.258154246179,0.15660768822598192
496,TOPLEY LANDING,234.95337385520125,0.004974208544991301
456,BABINE LAKE PINKUT CREEK,1242.5146906130374,0.02630533492629722
574,BURNS LAKE DECKER LAKE,567.0756152050403,0.01200558359526901
516,GRASSY PLAINS,1103.1563552130604,0.02335497328054559
535,OOTSA L SKINS L SPILLWAY,118.65990745401382,0.0025121542879796626
43963,OOTSA LAKESKINS LAKE CLIMATE,2303.490681508003,0.04876730579883646
548,TAKYSIE LAKE,1020.7808975939216,0.021610998727368016
573,BURNS LAKE DECKER LAKE,159.66184172760939,0.003380208100012104
546,SOUTHBANK,1009.6394455583825,0.021375122540491277
10709,NECHAKO RIVER (AUT),1271.8159953147583,0.026925674178443982
572,BURNS LAKE,84.84558263370228,0.0017962696820068864
584,ENDAKO SAVORY,484.27946797494053,0.010252702603238075
6825,BURNS LAKE 10 SOUTH,157.61408774646378,0.0033368550075073247
583,ENDAKO MINE,1267.9915009995118,0.026844705635660278
557,FRASER LAKE NORTH SHORE,1034.8479893083224,0.021908813764712712
652,TACHIE 1SE,1489.4427799362006,0.03153306071612402
586,FORT FRASER,280.44086844399453,0.005937226358105425
558,FRASER LAKE NORTH SHORE,287.363827585495,0.006083792640398949
587,FORT FRASER 13S,1726.1994110953713,0.03654544610336723
599,KALDER LAKE,3815.3635942587575,0.0807752358751264
589,FORT ST JAMES A,641.2515337702521,0.013575965334869159
588,FORT ST JAMES,6.2347105046591755,1.319953391558253e-4
55363,FORT ST JAMES GOLF CLUB,319.49967904713105,0.006764142210690947
585,ENGEN,437.16225506733036,0.009255181949605543
51538,FORT ST JAMES AUTO,87.86221063873387,0.0018601348504591417
654,VANDERHOOF BRAESIDE RD,144.38957977466012,0.0030568783488312437
661,VANDERHOOF,675.9574716826133,0.014310726322093788
577,CHIEF LAKE,1480.825123581646,0.03135061592219209
660,VANDERHOOF,52.30477400848484,0.0011073467452192734
655,VANDERHOOF,131.64357447699655,0.0027870320919938514
662,VANDERHOOF 2NE,889.4617539078108,0.018830835174377464
610,MAPES,1651.4607393428969,0.03496315029049002
597,ISLE PIERRE,1436.5236872571463,0.030412708202439482
515,GILLIES CROSSING,11.521316375038266,2.4391831205447008e-4
514,EUCHINIKO TITETOWN,34.17157576136792,7.234479818654074e-4
633,PRINCE GEORGE 15NW,23.846843433605194,5.048626050018424e-4
635,PRINCE GEORGE MIWORTH,73.8991280527954,0.001564521795095235
