variable,period,month,is_basin_average,n_total,n_valid_vc,n_significant_vc,n_valid_tfpw,n_significant_tfpw
Precipitation,annual,,FALSE,854,854,0,854,0
Precipitation,monthly,1,FALSE,854,854,2,854,2
Precipitation,monthly,2,FALSE,854,854,223,854,100
Precipitation,monthly,3,FALSE,854,854,0,854,0
Precipitation,monthly,4,FALSE,854,854,0,854,0
Precipitation,monthly,5,FALSE,854,854,319,854,265
Precipitation,monthly,6,FALSE,854,854,158,854,96
Precipitation,monthly,7,FALSE,854,854,33,854,33
Precipitation,monthly,8,FALSE,854,854,234,854,132
Precipitation,monthly,9,FALSE,854,854,0,854,0
Precipitation,monthly,10,FALSE,854,854,57,854,77
Precipitation,monthly,11,FALSE,854,854,0,854,0
Precipitation,monthly,12,FALSE,854,854,236,854,412
PET,annual,,FALSE,854,854,738,854,738
PET,monthly,1,FALSE,854,854,373,854,373
PET,monthly,2,FALSE,854,854,854,854,854
PET,monthly,3,FALSE,854,854,0,854,0
PET,monthly,4,FALSE,854,854,72,854,72
PET,monthly,5,FALSE,854,854,0,854,2
PET,monthly,6,FALSE,854,854,0,854,0
PET,monthly,7,FALSE,854,854,0,854,0
PET,monthly,8,FALSE,854,854,660,854,540
PET,monthly,9,FALSE,854,854,0,854,0
PET,monthly,10,FALSE,854,854,12,854,24
PET,monthly,11,FALSE,854,854,144,854,144
PET,monthly,12,FALSE,854,854,41,854,41
Precipitation,annual,,TRUE,1,1,0,1,0
Precipitation,monthly,1,TRUE,1,1,0,1,0
Precipitation,monthly,2,TRUE,1,1,0,1,0
Precipitation,monthly,3,TRUE,1,1,0,1,0
Precipitation,monthly,4,TRUE,1,1,0,1,0
Precipitation,monthly,5,TRUE,1,1,0,1,0
Precipitation,monthly,6,TRUE,1,1,0,1,0
Precipitation,monthly,7,TRUE,1,1,0,1,0
Precipitation,monthly,8,TRUE,1,1,0,1,0
Precipitation,monthly,9,TRUE,1,1,0,1,0
Precipitation,monthly,10,TRUE,1,1,0,1,0
Precipitation,monthly,11,TRUE,1,1,0,1,0
Precipitation,monthly,12,TRUE,1,1,0,1,1
PET,annual,,TRUE,1,1,1,1,1
PET,monthly,1,TRUE,1,1,0,1,0
PET,monthly,2,TRUE,1,1,1,1,1
PET,monthly,3,TRUE,1,1,0,1,0
PET,monthly,4,TRUE,1,1,0,1,0
PET,monthly,5,TRUE,1,1,0,1,0
PET,monthly,6,TRUE,1,1,0,1,0
PET,monthly,7,TRUE,1,1,0,1,0
PET,monthly,8,TRUE,1,1,1,1,1
PET,monthly,9,TRUE,1,1,0,1,0
PET,monthly,10,TRUE,1,1,0,1,0
PET,monthly,11,TRUE,1,1,0,1,0
PET,monthly,12,TRUE,1,1,0,1,0
